municipioNotificacao,count
Matipó,409
Madre de Deus de Minas,409
Carmo de Minas,408
Francisco Sá,408
Pedra Azul,404
Monte Belo,404
Carvalhópolis,401
Moeda,400
Alto Rio Doce,399
Bela Vista de Minas,395
Divisa Nova,394
Bertópolis,393
Rodeiro,393
Ouro Fino,392
Indianópolis,389
Dom Bosco,389
Alto Jequitibá,389
Toledo,387
Montalvânia,387
Carmo da Mata,386
Piedade de Caratinga,385
Água Comprida,382
Peçanha,382
Cristina,381
São Pedro da União,380
Prudente de Morais,378
Descoberto,375
Guarani,375
Santa Juliana,371
Ritápolis,369
Veríssimo,368
São Francisco de Sales,364
Piraúba,363
Guarará,362
Lassance,362
Natalândia,361
Monsenhor Paulo,358
Datas,356
Bonito de Minas,354
Capim Branco,354
Sapucaí-Mirim,352
Entre Rios de Minas,350
Itabirinha,348
Capitão Andrade,346
Lagamar,345
São João Evangelista,343
Maripá de Minas,342
Resende Costa,341
Ipuiúna,341
São José da Barra,340
Fortaleza de Minas,340
Francisco Badaró,339
Chalé,339
Inconfidentes,338
Laranjal,338
Tocos do Moji,337
Cambuquira,336
Rubim,335
Desterro de Entre Rios,335
Claraval,335
Mário Campos,335
Monte Alegre de Minas,334
Natércia,334
Virginópolis,334
Taparuba,334
Piracema,333
Careaçu,333
Santa Rita de Ibitipoca,331
Joaíma,329
Carmésia,328
Coroaci,327
São Francisco de Paula,326
Ressaquinha,326
Eugenópolis,323
Gouveia,319
Inhaúma,319
Manga,318
Rio Piracicaba,318
Chapada do Norte,318
Virgem da Lapa,317
São Brás do Suaçuí,315
Japaraíba,314
Itueta,312
Gonçalves,311
Rio Preto,311
Fronteira dos Vales,309
Felisburgo,308
Riacho dos Machados,308
Gurinhatã,307
Piranguinho,304
Bonfim,304
Santa Efigênia de Minas,303
Engenheiro Caldas,301
Jacinto,301
Prados,300
Pirajuba,298
São Sebastião do Oeste,295
São Sebastião da Vargem Alegre,295
Bom Jardim de Minas,293
Monte Azul,291
Cachoeira da Prata,291
São Geraldo,290
Campo Azul,290
Cascalho Rico,290
Santana do Riacho,289
Conceição dos Ouros,288
Teixeiras,286
Formoso,284
Ribeirão Vermelho,284
São Vicente de Minas,283
Medina,282
Nazareno,282
Fama,282
Florestal,281
Palma,279
Matias Barbosa,279
Ipiaçu,279
Santa Rita do Sapucaí,279
Uruana de Minas,278
Berilo,278
Lagoa Dourada,278
Aguanil,276
Rio Vermelho,272
Paulistas,269
Virgolândia,268
Luminárias,268
Santa Maria do Suaçuí,267
Claro dos Poções,267
Canaã,266
Serrania,266
Pescador,262
Franciscópolis,259
Nacip Raydan,257
Imbé de Minas,257
Ibertioga,256
Cordisburgo,254
São José do Goiabal,253
Porto Firme,251
Funilândia,249
Belmiro Braga,249
Cônego Marinho,247
Goiabeira,247
Dom Viçoso,247
Argirita,246
