Município,População
Frei Inocêncio,8334
Frei Lagonegro,3475
Fronteira,14909
Fronteira dos Vales,4405
Fruta de Leite,4607
Frutal,60942
Funilândia,4886
Galiléia,6281
Gameleiras,4863
Glaucilândia,2991
Goiabeira,2869
Goianá,4190
Gonçalves,4891
Gonzaga,5271
Gouveia,11549
Governador Valadares,266649
Grão Mogol,14091
Grupiara,1426
Guanhães,33434
Guapé,14073
Guaraciaba,9921
Guaraciama,5203
Guaranésia,19611
Guarani,7780
Guarará,3132
Guarda-Mor,6684
Guaxupé,52621
Guidoval,7284
Guimarânia,8808
Guiricema,7850
Gurinhatã,5203
Heliodora,6274
Iapu,12486
Ibertioga,5334
Ibiá,22596
Ibiaí,6254
Ibiracatu,5139
Ibiraci,11057
Ibirité,178713
Ibitiúra de Minas,3439
Ibituruna,2740
Icaraí de Minas,10912
Igarapé,48475
Igaratinga,11252
Iguatama,6845
Ijaci,7291
Ilicínea,13171
Imbé de Minas,7208
Inconfidentes,7510
Indaiabira,6379
Indianópolis,6309
Ingaí,2633
Inhapim,23000
Inhaúma,6435
Inimutaba,7587
Ipaba,17554
Ipanema,20095
Ipatinga,235445
Ipiaçu,3823
Ipuiúna,9299
Iraí de Minas,7423
Itabira,117747
Itabirinha,10560
Itabirito,55877
Itacambira,4265
Itacarambi,17521
Itaguara,14325
Itaipé,10549
Itajubá,96632
Itamarandiba,34137
Itamarati de Minas,3730
Itambacuri,21296
Itambé do Mato Dentro,2175
Itamogi,11062
Itamonte,15193
Itanhandu,15684
Itanhomi,11298
Itaobim,19354
Itapagipe,14004
Itapecerica,21462
Itapeva,13332
Itatiaiuçu,13603
Itaú de Minas,14655
Itaúna,102500
Itaverava,5752
Itinga,13982
Itueta,6218
Ituiutaba,106397
Itumirim,6845
Iturama,40011
Itutinga,4347
Jaboticatubas,21214
Jacinto,11169
Jacuí,7663
Jacutinga,26705
Jaguaraçu,3173
Jaíba,39379
Jampruca,4306
Janaúba,73281
Januária,67087
Japaraíba,4672
Japonvar,8357
Jeceaba,6428
Jenipapo de Minas,6124
Jequeri,12652
Jequitaí,6460
Jequitibá,6098
Jequitinhonha,24509
Jesuânia,5296
Joaíma,14084
Joanésia,4304
João Monlevade,83360
João Pinheiro,48532
Joaquim Felício,3891
Jordânia,10536
José Gonçalves de Minas,3993
José Raydan,4352
Josenópolis,3607
Nova União,6083
Juatuba,32726
Juiz de Fora,565764
Juramento,3815
Juruaia,11543
Juvenília,5929
Ladainha,14399
Lagamar,6672
Lagoa da Prata,53583
Lagoa dos Patos,3285
Lagoa Dourada,13116
Lagoa Formosa,19507
Lagoa Grande,9210
Lagoa Santa,79981
Lajinha,21422
Lambari,20950
Lamim,3226
Laranjal,6042
Lassance,7358
Lavras,109884
Leandro Ferreira,3270
Leme do Prado,4387
Leopoldina,52696
Liberdade,4775
Lima Duarte,17712
Limeira do Oeste,9087
Lontra,8968
Luisburgo,7195
Luislândia,6329
Luminárias,5731
Luz,18304
Machacalis,6579
Machado,38831
Madre de Deus de Minas,5341
Malacacheta,17751
Mamonas,6096
Manga,19188
Manhuaçu,96545
Manhumirim,20970
Mantena,27358
Maravilhas,7518
Mar de Espanha,13119
Maria da Fé,14557
Mariana,64058
Marilac,4320
Mário Campos,16546
Maripá de Minas,3532
Marliéria,4761
Marmelópolis,3299
Martinho Campos,14461
Martins Soares,8725
Mata Verde,9458
Materlândia,3982
Mateus Leme,40239
Mathias Lobato,3069
Matias Barbosa,14501
Matias Cardoso,8975
Matipó,19054
Mato Verde,12238
Matozinhos,39291
Matutina,3907
Medeiros,4040
Medina,20492
Mendes Pimentel,5651
Mercês,10609
Mesquita,5038
Minas Novas,24191
Minduri,3815
Mirabela,14029
Miradouro,9026
Miraí,13922
Miravânia,4011
Moeda,5291
Moema,7778
Monjolos,2196
Monsenhor Paulo,8550
Montalvânia,14160
Monte Alegre de Minas,20666
Monte Azul,20577
Monte Belo,13340
Monte Carmelo,49354
Monte Formoso,4449
Monte Santo de Minas,21301
Montes Claros,434321
Monte Sião,24933
Montezuma,6979
Morada Nova de Minas,9364
Morro da Garça,2438
Morro do Pilar,3174
Munhoz,7857
Muriaé,108161
Mutum,28670
Muzambinho,22527
Nacip Raydan,2437
Nanuque,35554
Naque,6442
Natalândia,3626
Natércia,4800
Nazareno,8390
Nepomuceno,25774
Ninheira,10915
Nova Belém,3156
Nova Era,17807
Nova Lima,119142
Nova Módica,3731
Nova Ponte,15113
Nova Porteirinha,6780
Nova Resende,16854
Nova Serrana,112910
Novo Cruzeiro,27453
Novo Oriente de Minas,10501
Novorizonte,4630
Olaria,1986
Olhos-d'Água,5520
Olímpio Noronha,2616
Oliveira,40552
Oliveira Fortes,2062
Onça de Pitangui,3027
Oratórios,5076
Orizânia,8759
Ouro Branco,40411
Ouro Fino,33227
Ouro Preto,77601
Ouro Verde de Minas,5858
Padre Carvalho,5085
Padre Paraíso,17537
Paineiras,4273
Pains,8341
Pai Pedro,5634
Paiva,1498
Palma,5742
Palmópolis,6373
Papagaios,14207
Paracatu,98397
Pará de Minas,102033
Paraguaçu,22357
Paraisópolis,21005
Paraopeba,24800
Passabém,1617
Passa Quatro,15842
Passa Tempo,8696
Passa Vinte,2301
Passos,116530
Patis,4863
Patos de Minas,167870
Patrocínio,93852
Patrocínio do Muriaé,5735
Paula Cândido,8786
Paulistas,4429
Pavão,8168
Peçanha,17843
Pedra Azul,24999
Pedra Bonita,7559
Pedra do Anta,3371
Pedra do Indaiá,4232
Pedra Dourada,2883
Pedralva,10924
Pedras de Maria da Cruz,10619
Pedrinópolis,3404
Pedro Leopoldo,64910
Pedro Teixeira,1854
Pequeri,3448
Pequi,4258
Perdigão,12925
Perdizes,17830
Perdões,21991
Periquito,6647
Pescador,3587
Piau,2854
Piedade de Caratinga,8883
Piedade de Ponte Nova,4056
Piedade do Rio Grande,4697
Piedade dos Gerais,5175
Pimenta,8794
Pingo-d'Água,4845
Pintópolis,7231
Piracema,6884
Pirajuba,5762
Piranga,17360
Piranguçu,6271
Piranguinho,9451
Pirapetinga,11408
Pirapora,57543
Piraúba,11958
Pitangui,27734
Piumhi,37742
Planura,11484
Poço Fundo,16791
Poços de Caldas,171533
Pocrane,8468
Pompéu,32305
Ponte Nova,59569
Ponto Chique,3807
Ponto dos Volantes,11077
Porteirinha,38668
Porto Firme,10825
Poté,13751
Pouso Alegre,160751
Pouso Alto,6755
Prados,9327
Prata,29578
Pratápolis,8551
Pratinha,3673
Presidente Bernardes,4883
Presidente Juscelino,3493
Presidente Kubitschek,3154
Presidente Olegário,19177
Alto Jequitibá,8596
Prudente de Morais,11940
Quartel Geral,3237
Queluzito,1800
Raposos,16735
Raul Soares,23882
Recreio,11337
Reduto,8170
Resende Costa,11520
Resplendor,17612
Ressaquinha,4641
Riachinho,6890
Riacho dos Machados,8886
Ribeirão das Neves,344828
Ribeirão Vermelho,4201
Rio Acima,10626
Rio Casca,12921
Rio Doce,2542
Rio do Prado,4679
Rio Espera,5479
Rio Manso,5727
Rio Novo,8689
Rio Paranaíba,15143
Rio Pardo de Minas,29123
Rio Piracicaba,15001
Rio Pomba,17856
Rio Preto,5240
Rio Vermelho,12815
Ritápolis,5115
Rochedo de Minas,2363
Rodeiro,9064
Romaria,3440
Rosário da Limeira,4896
Rubelita,5572
Rubim,10575
Sabará,134286
Sabinópolis,14382
Sacramento,27891
Salinas,41641
Salto da Divisa,6164
Santa Bárbara,31756
Santa Bárbara do Leste,8737
Santa Bárbara do Monte Verde,3199
Santa Bárbara do Tugúrio,4262
Santa Cruz de Minas,8321
Santa Cruz de Salinas,3944
Santa Cruz do Escalvado,4743
Santa Efigênia de Minas,4067
Santa Fé de Minas,3551
Santa Helena de Minas,6059
Santa Juliana,16568
Santa Luzia,229483
Santa Margarida,16903
Santa Maria de Itabira,10716
Santa Maria do Salto,4803
Santa Maria do Suaçuí,12898
Santana da Vargem,6781
