"Abadia dos Dourados: 6.365"
"Abaeté: 23.161"
"Abre Campo: 14.312"
"Acaiaca: 3.997"
"Açucena: 8.995"
"Água Boa: 12.545"
"Água Comprida: 2.165"
"Aguanil: 4.490"
"Águas Formosas: 18.841"
"Águas Vermelhas: 14.486"
"Aimorés: 26.165"
"Aiuruoca: 6.382"
"Alagoa: 2.816"
"Albertina: 3.023"
"Além Paraíba: 31.333"
"Alfenas: 81.950"
"Alfredo Vasconcelos: 7.184"
"Almenara: 41.894"
"Alpercata: 7.029"
"Alpinópolis: 18.672"
"Alterosa: 14.253"
"Alto Caparaó: 5.982"
"Alto Rio Doce: 10.994"
"Alvarenga: 4.012"
"Alvinópolis: 15.360"
"Alvorada de Minas: 4.322"
"Amparo do Serra: 4.595"
"Andradas: 42.282"
"Cachoeira de Pajeú: 9.333"
"Andrelândia: 12.169"
"Angelândia: 7.860"
"Antônio Carlos: 11.345"
"Antônio Dias: 9.388"
"Antônio Prado de Minas 1.558"
"Araçaí 2.224"
"Aracitaba 2.095"
"Araçuaí 35.250"
"Araguari 122.874"
"Arantina 2.991"
"Araponga 8.218"
"Araporã 8.935"
"Arapuá 2.674"
"Araújos 9.556"
"Araxá 117.677"
"Arceburgo 9.348"
"Arcos 43.348"
"Areado 14.212"
"Argirita 2.725"
"Aricanduva 4.820"
"Arinos 17.598"
"Astolfo Dutra 14.565"
"Ataléia 13.967"
"Augusto de Lima 4.593"
"Baependi 18.768"
"Baldim 7.614"
"Bambuí 24.144"
"Bandeira 4.821"
"Bandeira do Sul 6.146"
"Barão de Cocais 32.095"
"Barão de Monte Alto 4.991"
"Barbacena 129.630"
"Barra Longa 5.740"
"Barroso 20.566"
"Bela Vista de Minas 10.412"
"Belmiro Braga 3.299"
"Belo Horizonte 2.416.339"
"Belo Oriente 24.503"
"Belo Vale 8.946"
"Berilo 9.769"
"Bertópolis 4.546"
"Berizal 4.277"
"Betim 429.236"
"Bias Fortes 3.388"
"Bicas 14.331"
"Biquinhas 2.409"
"Boa Esperança 41.332"
"Bocaina de Minas 5.508"
"Bocaiúva 49.668"
"Bom Despacho 53.995"
"Bom Jardim de Minas 6.968"
"Bom Jesus da Penha 4.642"
"Bom Jesus do Amparo 5.775"
"Bom Jesus do Galho 14.756"
"Bom Repouso 13.183"
"Bom Sucesso 17.510"
"Bonfim 7.672"
"Bonfinópolis de Minas 5.615"
"Bonito de Minas 10.491"
"Borda da Mata 17.811"
"Botelhos 15.137"
"Botumirim 5.841"
"Brasilândia de Minas 15.432"
"Brasília de Minas 33.188"
"Brás Pires 4.314"
"Braúnas 4.475"
"Brazópolis 14.506"
"Brumadinho 40.777"
"Bueno Brandão 11.161"
"Buenópolis 9.229"
"Bugre 4.149"
"Buritis 24.693"
"Buritizeiro 24.068"
"Cabeceira Grande 6.797"
"Cabo Verde 11.396"
