municipioNotificacao,count
Piedade do Rio Grande,2435
Poté,2404
Sabinópolis,2400
Cana Verde,2397
Conceição da Aparecida,2385
Ouro Fino,2364
Alterosa,2364
Cambuquira,2359
Arceburgo,2350
São Domingos do Prata,2347
São João do Paraíso,2345
Jequitibá,2332
Santo Antônio do Aventureiro,2332
Simonésia,2324
Monte Belo,2323
Paraopeba,2292
Ibitiúra de Minas,2292
Coqueiral,2287
Descoberto,2275
Francisco Sá,2272
Cristina,2260
Indianópolis,2258
Lagamar,2256
Rodeiro,2250
Chapada Gaúcha,2248
Ritápolis,2235
Montalvânia,2209
Santana do Jacaré,2206
Goianá,2203
Desterro de Entre Rios,2190
Serrania,2188
Santos Dumont,2180
Capim Branco,2180
Maria da Fé,2162
Carmo de Minas,2159
Careaçu,2156
Pedra Azul,2149
Carvalhópolis,2140
São Pedro da União,2122
Santa Juliana,2108
Delta,2107
Ubaporanga,2100
Rio Preto,2097
Natalândia,2094
Peçanha,2085
Rio Piracicaba,2079
Guarará,2070
Bonito de Minas,2066
Itapeva,2029
Piraúba,2024
Lassance,2022
Madre de Deus de Minas,2014
Sapucaí-Mirim,2007
Datas,1982
Gouveia,1964
Piracema,1964
Alto Rio Doce,1956
Toledo,1955
Veríssimo,1948
Tocos do Moji,1948
Prudente de Morais,1943
Guarani,1930
Entre Rios de Minas,1922
Monte Alegre de Minas,1920
Rubim,1920
Manga,1914
Dom Bosco,1913
São Francisco de Sales,1912
Divisa Nova,1900
Resende Costa,1899
Maripá de Minas,1897
Carmo da Mata,1895
Bertópolis,1894
Virginópolis,1885
Laranjal,1881
Rio Vermelho,1876
Bela Vista de Minas,1867
Capitão Andrade,1856
Coroaci,1852
Felisburgo,1839
Santa Rita de Ibitipoca,1838
Água Comprida,1838
Palmópolis,1833
Joaíma,1803
Matias Barbosa,1802
Teixeiras,1800
São José da Barra,1794
São João Evangelista,1787
Inconfidentes,1780
Ressaquinha,1772
Mário Campos,1770
Conceição dos Ouros,1767
Natércia,1766
Gonçalves,1748
Taparuba,1745
Gurinhatã,1738
Santa Efigênia de Minas,1734
Pirajuba,1734
Chapada do Norte,1729
Claraval,1716
Eugenópolis,1710
Fortaleza de Minas,1705
Virgem da Lapa,1700
Delfim Moreira,1684
Itabirinha,1683
Chalé,1683
Ipuiúna,1682
Japaraíba,1675
São Brás do Suaçuí,1670
São Francisco de Paula,1668
Riacho dos Machados,1666
Prados,1657
Luminárias,1656
Carmésia,1649
